,index,open,high,low,close,adjclose,volume,ticker,RSI,MACD,Signal,ma-10,ma-20,ma-30,ma-40,ma-50,ma-60,ma-70,ma-80,ma-90,ma-100,vma-10,major_trend,days_to_10,days_to_10_percent_high
0,2018-01-31,125.41999816894533,125.81999969482422,124.0500030517578,125.3499984741211,97.87865447998048,9626800,CVX,50.0,0.0,0.0,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,125.3499984741211,9626800.0,0,1012,1012.0
1,2018-02-01,125.5999984741211,125.62999725341795,124.05999755859376,125.56999969482422,98.05045318603516,7844500,CVX,50.0,0.0175499549278868,0.0035099909855773,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,125.56999969482422,7844500.0,0,1011,1011.0
2,2018-02-02,123.9499969482422,123.9499969482422,117.63999938964844,118.58000183105467,92.59235382080078,13182600,CVX,50.0,-0.5265067470666764,-0.1024933566248734,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,118.58000183105467,13182600.0,0,68,68.0
3,2018-02-05,116.98999786376952,118.3000030517578,108.0199966430664,112.62000274658205,87.93851470947266,15414700,CVX,50.0,-1.422203443435535,-0.3664353739870057,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,112.62000274658205,15414700.0,0,50,50.0
4,2018-02-06,111.1999969482422,117.62999725341795,110.76000213623048,117.18000030517578,91.49918365478516,18416300,CVX,50.0,-1.7439921787263302,-0.6419467349348706,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,117.18000030517578,18416300.0,0,64,64.0
5,2018-02-07,117.4000015258789,119.2699966430664,115.2300033569336,115.29000091552734,90.02338409423828,11535700,CVX,50.0,-2.127000487558874,-0.9389574854596714,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,115.29000091552734,11535700.0,0,55,55.0
6,2018-02-08,115.16999816894533,115.88999938964844,112.20999908447266,112.3000030517578,87.68868255615234,9927500,CVX,50.0,-2.641357248710591,-1.2794374381098554,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,112.3000030517578,9927500.0,0,47,47.0
7,2018-02-09,113.33999633789062,114.62000274658205,109.5,113.5,88.62568664550781,10922400,CVX,50.0,-2.918516125551335,-1.6072531755981516,113.5,113.5,113.5,113.5,113.5,113.5,113.5,113.5,113.5,113.5,10922400.0,0,46,46.0
8,2018-02-12,114.8000030517578,115.8499984741211,112.91000366210938,113.9800033569336,89.00047302246094,8358200,CVX,50.0,-3.0641130846250206,-1.8986251574035256,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,8358200.0,0,52,52.0
9,2018-02-13,113.33999633789062,113.61000061035156,111.86000061035156,113.29000091552734,88.46173095703125,7065900,CVX,50.0,-3.1983090383747026,-2.158561933597761,116.7660011291504,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,11229460.0,0,44,44.0
10,2018-02-14,112.5,114.0500030517578,111.4000015258789,113.62999725341795,88.72718048095703,7031900,CVX,50.0,-3.2398781371402947,-2.374825174306268,115.59400100708008,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,113.62999725341795,10969970.0,0,44,44.0
11,2018-02-15,112.86000061035156,113.0199966430664,110.83999633789062,112.52999877929688,88.74298095703125,5405000,CVX,50.0,-3.3232739972182657,-2.564514938888668,114.29000091552734,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,10726020.0,0,42,42.0
12,2018-02-16,112.3499984741211,112.94000244140624,111.20999908447266,112.13999938964844,88.43538665771484,5950400,CVX,50.0,-3.381851628109217,-2.727982276732778,113.64600067138672,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,112.13999938964844,10002800.0,0,41,41.0
13,2018-02-20,112.27999877929688,112.76000213623048,110.58000183105467,110.9800033569336,87.52062225341797,6810900,CVX,50.0,-3.481741459729136,-2.87873411333205,113.48200073242188,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,9142420.0,0,40,40.0
14,2018-02-21,111.13999938964844,112.05999755859376,109.05999755859376,109.05999755859376,86.0064697265625,6892300,CVX,22.7500745965596,-3.673487614173808,-3.037684813500402,112.67000045776368,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,109.05999755859376,7990020.0,0,35,35.0
15,2018-02-22,109.5500030517578,111.44000244140624,108.9000015258789,109.88999938964844,86.6610107421875,8176700,CVX,24.29507503699007,-3.715642003763719,-3.173276251553066,112.13000030517578,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,109.88999938964844,7654120.0,0,36,36.0
16,2018-02-23,110.45999908447266,112.73999786376952,110.25,112.58999633789062,88.790283203125,6460200,CVX,38.5730495116138,-3.4909410766166644,-3.236809216565786,112.15899963378908,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,112.58999633789062,7307390.0,0,37,37.0
17,2018-02-26,113.18000030517578,114.66000366210938,112.8499984741211,114.5999984741211,90.37539672851562,7405800,CVX,54.44743085388232,-3.1147684866270566,-3.21240107057804,112.26899948120118,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,114.5999984741211,6955730.0,0,43,43.0
18,2018-02-27,114.87000274658205,116.0500030517578,113.61000061035156,113.61000061035156,89.59465789794922,6059700,CVX,40.44943636760711,-2.863524623356085,-3.142625781133649,112.23199920654297,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,113.61000061035156,6725880.0,0,36,36.0
19,2018-02-28,115.0199966430664,115.45999908447266,111.87999725341795,111.91999816894533,88.26190948486328,7441000,CVX,40.8869574474494,-2.7688633910667164,-3.0678733031202627,112.09499893188476,114.43050003051758,111.91999816894533,111.91999816894533,111.91999816894533,111.91999816894533,111.91999816894533,111.91999816894533,111.91999816894533,111.91999816894533,6763390.0,0,34,34.0
20,2018-03-01,111.52999877929688,113.9000015258789,110.97000122070312,112.04000091552734,88.3565444946289,7516700,CVX,49.16772698299505,-2.6535717405022297,-2.9850129905966565,111.93599929809572,113.76500015258787,112.04000091552734,112.04000091552734,112.04000091552734,112.04000091552734,112.04000091552734,112.04000091552734,112.04000091552734,112.04000091552734,6811870.0,0,33,33.0
21,2018-03-02,111.5,112.18000030517578,109.83000183105467,111.63999938964844,88.04109954833984,6607300,CVX,43.724697398388045,-2.564912344084462,-2.9009928612942177,111.84699935913086,113.0685001373291,111.63999938964844,111.63999938964844,111.63999938964844,111.63999938964844,111.63999938964844,111.63999938964844,111.63999938964844,111.63999938964844,6932100.0,0,32,32.0
22,2018-03-05,111.4000015258789,113.33000183105467,111.0199966430664,113.1500015258789,89.23190307617188,7814900,CVX,47.38169870208886,-2.345764072843224,-2.789947103604019,111.9479995727539,112.79700012207032,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,7118550.0,0,31,31.0
23,2018-03-06,113.8499984741211,115.5199966430664,113.0199966430664,113.6500015258789,89.62621307373047,7957900,CVX,51.14942696732125,-2.107448315342623,-2.65344734595174,112.21499938964844,112.84850006103515,113.6500015258789,113.6500015258789,113.6500015258789,113.6500015258789,113.6500015258789,113.6500015258789,113.6500015258789,113.6500015258789,7233250.0,0,34,34.0
24,2018-03-07,112.9499969482422,115.08000183105467,112.62999725341795,113.83999633789062,89.77604675292969,6660000,CVX,50.67697954722428,-1.881560904201976,-2.499070057601787,112.69299926757812,112.6814998626709,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,7210020.0,0,36,36.0
25,2018-03-08,114.5999984741211,114.75,112.5999984741211,113.3499984741211,89.3896255493164,6095100,CVX,52.75167654647555,-1.7222294469514452,-2.343701935471719,113.03899917602538,112.5844997406006,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,7001860.0,0,28,28.0
26,2018-03-09,114.30999755859376,117.38999938964844,114.23999786376952,117.22000122070312,92.44155883789062,8833300,CVX,63.819370189082754,-1.2690523944272345,-2.1287720272628223,113.50199966430664,112.83049964904784,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,7239170.0,0,42,42.0
27,2018-03-12,117.5,118.3499984741211,116.55999755859376,116.79000091552734,92.10247802734376,6877000,CVX,66.45890805914355,-0.9338390312450288,-1.889785428059264,113.72099990844728,112.99499969482422,116.79000091552734,116.79000091552734,116.79000091552734,116.79000091552734,116.79000091552734,116.79000091552734,116.79000091552734,116.79000091552734,7186290.0,0,41,41.0
28,2018-03-13,117.2300033569336,118.18000030517578,116.0,116.45999908447266,91.84223175048828,6793100,CVX,73.03860253860182,-0.6868903710440293,-1.6492064166562168,114.00599975585938,113.11899948120116,116.45999908447266,116.45999908447266,116.45999908447266,116.45999908447266,116.45999908447266,116.45999908447266,116.45999908447266,116.45999908447266,7259630.0,0,38,38.0
29,2018-03-14,116.9800033569336,117.4499969482422,114.86000061035156,115.12999725341795,90.79338073730467,5051000,CVX,65.82124463212831,-0.59168127768244,-1.4377013888614616,114.32699966430664,113.2109992980957,114.39599990844728,115.12999725341795,115.12999725341795,115.12999725341795,115.12999725341795,115.12999725341795,115.12999725341795,115.12999725341795,7020630.0,0,31,31.0
30,2018-03-15,115.36000061035156,116.20999908447266,114.75,115.58000183105467,91.1482391357422,4519700,CVX,60.44724952842814,-0.4744466510186385,-1.245050441292897,114.68099975585938,113.30849952697754,114.07033335367838,115.58000183105467,115.58000183105467,115.58000183105467,115.58000183105467,115.58000183105467,115.58000183105467,115.58000183105467,6720930.0,0,31,31.0
31,2018-03-16,115.4000015258789,116.19000244140624,114.55999755859376,115.4000015258789,91.00630950927734,14909400,CVX,53.20513761019208,-0.3915483593043944,-1.0743500248951965,115.05699996948242,113.45199966430664,113.73133341471356,115.4000015258789,115.4000015258789,115.4000015258789,115.4000015258789,115.4000015258789,115.4000015258789,115.4000015258789,7551140.0,0,29,29.0
32,2018-03-19,115.06999969482422,115.2300033569336,113.22000122070312,113.88999938964844,89.81547546386719,4803500,CVX,51.07691711787635,-0.442593476557434,-0.947998715227644,115.13099975585938,113.53949966430665,113.575,113.88999938964844,113.88999938964844,113.88999938964844,113.88999938964844,113.88999938964844,113.88999938964844,113.88999938964844,7250000.0,0,28,28.0
33,2018-03-20,114.5500030517578,115.6999969482422,114.44000244140624,114.5,90.29655456542967,4587200,CVX,60.8221431405932,-0.4288812721372466,-0.8441752266095646,115.21599960327148,113.71549949645996,113.63766657511393,114.5,114.5,114.5,114.5,114.5,114.5,114.5,6912930.0,0,27,27.0
34,2018-03-21,114.9800033569336,118.11000061035156,114.8000030517578,117.04000091552734,92.29962921142578,6829600,CVX,67.43373764480674,-0.2106294005165523,-0.7174660613909621,115.53600006103515,114.11449966430663,113.63299992879232,117.04000091552734,117.04000091552734,117.04000091552734,117.04000091552734,117.04000091552734,117.04000091552734,117.04000091552734,6929890.0,0,34,34.0
35,2018-03-22,115.5500030517578,115.73999786376952,113.4800033569336,113.6999969482422,89.6656494140625,6297200,CVX,55.960636241537244,-0.3036730722721756,-0.6347074635672049,115.57099990844726,114.30499954223632,113.57999979654949,113.6999969482422,113.6999969482422,113.6999969482422,113.6999969482422,113.6999969482422,113.6999969482422,113.6999969482422,6950100.0,0,25,25.0
36,2018-03-23,114.37000274658205,115.7699966430664,112.6999969482422,112.9800033569336,89.09783172607422,6227200,CVX,49.48454180619956,-0.4305452603073689,-0.5938750229152377,115.14700012207032,114.32449989318847,113.60266647338868,112.9800033569336,112.9800033569336,112.9800033569336,112.9800033569336,112.9800033569336,112.9800033569336,112.9800033569336,6689490.0,0,17,17.0
37,2018-03-26,114.23999786376952,115.58999633789062,113.25,115.3499984741211,90.96686553955078,6868700,CVX,54.6296211648373,-0.3359806089888337,-0.542296140129957,115.00299987792968,114.36199989318848,113.66433308919272,115.3499984741211,115.3499984741211,115.3499984741211,115.3499984741211,115.3499984741211,115.3499984741211,115.3499984741211,6688660.0,0,23,23.0
38,2018-03-27,115.75,116.86000061035156,113.9800033569336,114.66000366210938,90.4227294921875,5530800,CVX,52.173932390459946,-0.313104977045171,-0.4964579075129998,114.82300033569337,114.41450004577636,113.6869997660319,114.66000366210938,114.66000366210938,114.66000366210938,114.66000366210938,114.66000366210938,114.66000366210938,114.66000366210938,6562430.0,0,22,22.0
39,2018-03-28,114.93000030517578,115.26000213623048,112.05999755859376,112.0999984741211,88.40386199951172,6985300,CVX,47.0138568415558,-0.4958312635721995,-0.4963325787248397,114.52000045776369,114.42350006103516,113.64733301798502,114.42700004577635,112.0999984741211,112.0999984741211,112.0999984741211,112.0999984741211,112.0999984741211,112.0999984741211,6755860.0,0,14,14.0
40,2018-03-29,112.29000091552734,114.43000030517578,112.27999877929688,114.04000091552734,89.93376922607422,6627800,CVX,41.63158150458828,-0.478584355826527,-0.4927829341451772,114.36600036621094,114.52350006103516,113.660999806722,114.14425010681153,114.04000091552734,114.04000091552734,114.04000091552734,114.04000091552734,114.04000091552734,114.04000091552734,6966670.0,0,20,20.0
41,2018-04-02,113.88999938964844,114.38999938964844,110.54000091552734,112.23999786376952,88.51425170898438,6228600,CVX,38.8316133183617,-0.6032078555298028,-0.5148679184221023,114.05,114.5534999847412,113.65133310953776,113.81100006103516,112.23999786376952,112.23999786376952,112.23999786376952,112.23999786376952,112.23999786376952,112.23999786376952,6098590.0,0,12,12.0
42,2018-04-03,112.5199966430664,114.9800033569336,112.08999633789062,114.83000183105467,90.5567855834961,6717300,CVX,46.39859400754038,-0.48736318291526,-0.5093669713207339,114.14400024414064,114.6375,113.74099985758464,113.71725006103516,114.83000183105467,114.83000183105467,114.83000183105467,114.83000183105467,114.83000183105467,114.83000183105467,6289970.0,0,18,18.0
