,index,open,high,low,close,adjclose,volume,ticker,RSI,MACD,Signal,ma-10,ma-20,ma-30,ma-40,ma-50,ma-60,ma-70,ma-80,ma-90,ma-100,vma-10,major_trend,days_to_10,days_to_10_percent_high
0,2018-01-31,98.73999786376952,99.70999908447266,98.5,99.4000015258789,91.54290008544922,3202900,AXP,50.0,0.0,0.0,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,99.4000015258789,3202900.0,0,157,157.0
1,2018-02-01,98.9499969482422,100.04000091552734,98.4000015258789,100.0,92.09546661376952,2952100,AXP,50.0,0.0478631261407258,0.0095726252281451,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2952100.0,0,156,156.0
2,2018-02-02,99.52999877929688,99.69000244140624,96.63999938964844,96.68000030517578,89.03789520263672,4663300,AXP,50.0,-0.1800260028363283,-0.0283471003847495,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,96.68000030517578,4663300.0,0,142,142.0
3,2018-02-05,95.83000183105467,96.72000122070312,88.61000061035156,92.01000213623048,84.7370376586914,6421900,AXP,50.0,-0.7290555047959089,-0.1684887812669814,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,92.01000213623048,6421900.0,0,14,14.0
4,2018-02-06,89.75,94.22000122070312,88.51000213623047,94.18000030517578,86.73551940917969,7244000,AXP,50.0,-0.9777932321156726,-0.3303496714367196,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,94.18000030517578,7244000.0,0,119,119.0
5,2018-02-07,93.52999877929688,94.8499984741211,93.41000366210938,93.61000061035156,86.2105712890625,3796800,AXP,50.0,-1.207000336216936,-0.5056798043927629,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,3796800.0,0,72,72.0
6,2018-02-08,93.75,93.97000122070312,88.27999877929688,88.33999633789062,81.35713195800781,5814900,AXP,50.0,-1.7932227633163222,-0.7631883961774748,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,88.33999633789062,5814900.0,0,5,5.0
7,2018-02-09,89.47000122070312,92.5199966430664,87.54000091552734,91.72000122070312,84.46997833251953,8017600,AXP,50.0,-1.9624482324910133,-1.0030403634401823,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,91.72000122070312,8017600.0,0,10,10.0
8,2018-02-12,92.58000183105467,95.68000030517578,92.41999816894533,94.6999969482422,87.21440124511719,7419200,AXP,50.0,-1.8349477502174665,-1.1694218407956394,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,94.6999969482422,7419200.0,0,115,115.0
9,2018-02-13,94.02999877929688,94.80999755859376,92.81999969482422,94.55999755859376,87.0854721069336,3366700,AXP,50.0,-1.7253111669811858,-1.2805997060327488,94.51999969482422,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,94.55999755859376,5289940.0,0,114,114.0
10,2018-02-14,93.97000122070312,96.55999755859376,93.66999816894533,96.2300033569336,88.62345123291016,3446800,AXP,50.0,-1.486532057546924,-1.3217861763355838,94.20299987792968,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,5314330.0,0,131,131.0
11,2018-02-15,97.05999755859376,97.20999908447266,95.44000244140624,96.55999755859376,88.92737579345703,3057400,AXP,50.0,-1.2561895476577831,-1.308666850600024,93.85899963378908,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,96.55999755859376,5324860.0,0,130,130.0
12,2018-02-16,96.37000274658205,97.48999786376952,96.25,96.79000091552734,89.13920593261719,3280700,AXP,50.0,-1.0430583727167857,-1.2555451550233765,93.86999969482422,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,96.79000091552734,5186600.0,0,132,132.0
13,2018-02-20,96.58000183105467,97.70999908447266,96.5,97.19000244140624,89.507568359375,3514700,AXP,50.0,-0.8322795997132175,-1.1708920439613446,94.3879997253418,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,97.19000244140624,4895880.0,0,131,131.0
